NrESKM,Imie,Nazwisko,Plec,Gatunek,NazwiskoPanienskieMatki,ImieMatki,ImieOjca,Data_urodzenia,MiejsceUrodzenia,MiejsceZamieszkania,MiejsceZameldowania,Wyksztalcenie
390718,KASPIAN,HEVAK,M,ogr,LIZZI,VIVIANA,JEREMIASZ,3538.12.25,Godzikowice,Szczepanów,Rudka,nadludzkie
130103,NOEMI,HOIAN,K,hobbit,BLADOSZ,PAULA,MARTIN,3548.3.19,Kolonia Podbojmie,Gać Kaliska,Gać Kaliska,brak
592213,KAZIMIERZ,MAMUL,M,ogr,MIKUCKA,ANITA,EDWARD,3513.4.5,Pod Bożywolą,Pod Bożywolą,Pod Bożywolą,średnie
698777,NIKOLAS,LEONIEC,M,goblin,DEDOLIK,VICTORIA,OLIWIER,3519.11.26,Zabijak,Zabijak,Zabijak,średnie
617398,KSENIA,SKLIARENKO,K,ogr,MYRNA,SELENA,DOMINIK,3517.9.7,Poręby Drugie,Poręby Drugie,Poręby Drugie,brak
126481,HANA,KASIEWICZ,K,ogr,RUDNICKA-DRABIK,ELENA,FABIAN,3502.5.6,Bieruń,Bieruń,Bieruń,średnie
610714,GABRIEL,DĘBIEC,M,krasnal,KUCZMA,IDALIA,BŁAŻEJ,3529.11.22,Dół,Dół,Dół,brak
192063,WERONIKA,PAŁAMARUK,K,ogr,PROMIŃSKI,MARIKA,NIKODEM,3528.11.4,Orle-Młyn,Orle-Młyn,Orle-Młyn,podstawowe
927488,LILIANNA,KRASIŃSKA-GEREJCZYK,K,ogr,RAJKO-NENOW,FRANCISZKA,WITOLD,3549.4.15,Ochojno,Ochojno,Ochojno,nadludzkie
642994,CEZARY,GRUCKI,M,wiedźma,ERKEKOGLOU,ANTONIA,MICHAŁ,3530.7.27,Sudół Górny,Rutkowice,Nowy Rogożyn,średnie
183975,JESSICA,KAROLCZAK,K,ogr,WYCZECHOWSKA,WANESA,FLORIAN,3515.6.7,Ugory,Ugory,Ugory,podstawowe
948353,CARMEN,PODLEŚKA,K,ogr,WOŹNIAK-LESZCZYŃSKA,LILIANA,MAKS,3525.4.25,Koło Skwarów,Koło Skwarów,Koło Skwarów,nadludzkie
830056,SONIA,ARAKELIAN,K,goblin,TEREN,DOBROCHNA,MILAN,3547.3.17,Nagórzyce,Nagórzyce,Nagórzyce,średnie
359133,LEONARD,ZUCHNIEWICZ,M,ogr,RYBINA,DALIA,BRONISŁAW,3515.9.28,Janin,Krzyśki,Krzyśki,wyższe
732083,GLORIA,BĘDEK,K,ogr,SWOJCZYK,LIWIA,BARTOSZ,3541.5.4,Jaszczurowa,Jaszczurowa,Jaszczurowa,średnie
604871,PATRYCJA,HERSZLAK,K,ogr,HESTAL,ELIZA,BERNARD,3516.7.20,Mazurówka,Bronikowo,Bronikowo,brak
880455,NIKODEM,DAMASZK,M,ogr,SZYRKO,MARIA,PIOTR,3521.11.17,Labuszewo,Labuszewo,Labuszewo,brak
445169,ADRIANA,POŻAROWSKA,K,ogr,MASHALEY,MONIKA,ANDRZEJ,3538.10.7,Pagor,Pagor,Pagor,nadludzkie
585418,RADOSŁAW,ZERGER,M,wiedźma,KACAMAKI,WANESA,JERZY,3504.3.19,Stara Krowodrza,Stara Krowodrza,Stara Krowodrza,brak
263308,KSAWIER,STREJKO,M,ogr,RIAZ,SONIA,KLEMENS,3509.11.11,Misowa,Zagóra,Zagóra,podstawowe
424057,JERZY,GOCNER,M,ogr,HODYNIUK,DOMINIKA,JĘDRZEJ,3501.3.21,Na Bielskim Gościńcu,Murowaniec,Murowaniec,podstawowe
984812,ALEKSY,KUSYY,M,ogr,OGIEŃ,DIANA,LEONARD,3536.11.5,Garbno,Garbno,Garbno,podstawowe
292746,PHILIP,TERLAGA,M,goblin,ZINE,NATASZA,KAZIMIERZ,3545.6.6,Krzecze,Wygorzele,Wygorzele,nadludzkie
927677,LESZEK,PELINKO,M,ogr,BURLAGE,MARLENA,OSKAR,3545.2.13,Małe Raczki,Wygon,Kębłów,brak
387954,AUGUST,MYSAKOVYCH,M,ogr,FRONIO,JANA,WILHELM,3544.4.7,Kolonia Lipnik,Kolonia Lipnik,Kolonia Lipnik,podstawowe
911810,LILIA,ROZWADOWSKI,K,ogr,LANGHOLTZ,HONORATA,DARIUSZ,3547.4.25,Uwielinek,Uwielinek,Uwielinek,brak
468410,NADIA,POWAŁKIEWICZ,K,człowiek,KŁYNCYPAR,VANESSA,ALEKSANDER,3516.9.18,Maciejowice,Kamionka,Kaptur,brak
633720,SONIA,WARWASZYŃSKA,K,elf,KISIEL-KIŚLAŃSKA,SARA,ROMAN,3535.5.28,Kępina,Skadla,Skadla,podstawowe
359099,OLIVIER,DA SILVA TEIXEIRA,M,ogr,HEINCY,KRYSTYNA,BORYS,3535.1.18,Gaśno,Kulik,Kulik,brak
529859,MAYA,WERNET,K,ogr,JANOT,MIRIAM,KACPER,3539.2.15,Miedzne,Miedzne,Miedzne,średnie
102284,DALIA,KOWALSKA-SZULC,K,krasnal,DALHMANN,JOANNA,SAMUEL,3518.5.22,Pałęczak,Pałęczak,Pałęczak,nadludzkie
923444,INES,SZYSZ,K,krasnal,PARTYKA-BASA,JOWITA,LEOPOLD,3519.2.15,Siemianów,Niegosławice,Sejkowice,nadludzkie
150486,JEREMIASZ,CICHOLIŃSKI,M,ogr,JĘDRZEJEK,DOMINIKA,FILIP,3507.3.9,Podrękaw,Podrękaw,Podrękaw,wyższe
643162,DIEGO,SANOGHO,M,ogr,SAMBOR-CAO,ADELA,IGOR,3544.6.1,Tarki,Podpastwie,Słonki,średnie
257109,MAKS,DĘBNIAK,M,ogr,SOMMERLA,NIKOLA,LEONARDO,3522.6.13,Grodzisko,Grodzisko,Grodzisko,podstawowe
409510,MARCELA,PRUSINSKI,K,chochlik,DINH XUAN,PAULINA,SEBASTIAN,3522.7.16,Zagórze,Majków Duży,Janowo,wyższe
274879,RITA,KOŁACZEK-SERETNA,K,ogr,STYPUŁKOWSKI,VIVIANA,MIROSŁAW,3507.7.9,Otłoczynek,Rogówko,Żabików,nadludzkie
305356,NICOLAS,GORAK,M,ogr,KUTSAK,INGA,TEOFIL,3545.4.7,Dębno,Gródza,Trzebiel,brak
293591,EWELINA,ZUBKOWICZ,K,hobbit,KŁEMBOKOWSKA,BLANKA,DIEGO,3525.1.29,Dudki,Henryków,Henryków,nadludzkie
977337,MARCELA,ŁOMONOS,K,ogr,DI CRESCENTIS,MIRA,ANATOL,3522.11.25,Kozłówki,Kozłówki,Kozłówki,wyższe
253829,JANUSZ,EKSZTEJN,M,ogr,MONID,ŁUCJA,BOGUSŁAW,3548.4.7,Stara Maszyna,Ruskie,Ruskie,podstawowe
526081,SANTIAGO,STARŻYK,M,ogr,ŻYCIŃSKA,ANTONIA,JERZY,3545.11.3,Biskupice,Szymanowo,Szymanowo,brak
732243,SYLWESTER,PATULIAK,M,ogr,VARAKSINA,TATIANA,ARON,3530.1.13,Niedźwiady,Niedźwiady,Niedźwiady,nadludzkie
886051,CARMEN,JEZIERSKA-DZIEDZIC,K,ogr,CASSAR,MARTYNA,FELIKS,3531.1.8,Skawina,Momina,Momina,wyższe
410640,DIANA,STRICKER,K,ogr,BARISCH,DAGMARA,STANISŁAW,3524.2.5,Lubatowa,Lubatowa,Lubatowa,średnie
804358,ALEKS,RONCHI,M,wiedźma,DORSZYŃSKA,ANIKA,KAZIMIERZ,3502.5.4,Prusinowice-Parcela,Prusinowice-Parcela,Prusinowice-Parcela,średnie
759111,MAKSYMILIAN,BUIOVSKYI,M,ogr,ZIENTARSKI,MELISA,OLIVIER,3501.6.9,Na Debrzy,Na Debrzy,Na Debrzy,średnie
463268,GNIEWOMIR,BAREN,M,ogr,NESTSER,DOROTA,FABIAN,3537.5.22,Rudnia,Skrudki,Budy,nadludzkie
605247,JAN,BERBELICKI,M,ogr,PLUTOWSKA,ZOJA,WILHELM,3511.6.9,Szpruch Górny,Aleksandrów,Aleksandrów,wyższe
129458,GRACJAN,SAMSONIK,M,ogr,EBING,NEL,KSAWERY,3518.6.19,Kolonia,Kolonia,Kolonia,brak
610890,OLIWIER,KOPKA,M,ogr,FEDORKÓW,IWONA,JÓZEF,3545.3.28,Zosin,Zosin,Zosin,nadludzkie
677671,GNIEWKO,NIZIOŁEK-KIEŁBASA,M,ogr,CZAŁCZYŃSKA,ANITA,LEONARD,3518.12.16,Gliny,Gliny,Gliny,podstawowe
796557,MAX,WASSIDŁOW,M,krasnal,LUBACH,MARZENA,PHILIP,3534.10.9,Zawady-Borysówka,Pod Karczmą,Pod Karczmą,średnie
123384,DARIA,DEMIRBÜKEN,K,ogr,MINA,JESSICA,KONSTANTY,3547.10.24,Izdebno,Izdebno,Izdebno,brak
974240,SOFIA,TOLKSDORF,K,elf,SAXENA,OTYLIA,PASCAL,3548.3.5,Podkrosno,Podkrosno,Podkrosno,nadludzkie
596570,JUDYTA,SZCZĘKOWSKA,K,ogr,UTKAŁA,ZOFIA,JULIAN,3528.12.19,Smerzyn,Smerzyn,Smerzyn,średnie
552017,NEL,ŚMIERAK,K,ogr,BĘDŹ,IGA,ALEKSANDER,3512.9.9,Krzywda,Krzywda,Krzywda,nadludzkie
137472,TEODOR,SKŁADKOWSKI,M,ogr,KELCH,IDA,KRZYSZTOF,3500.2.23,Tomaszewo,Zapłocie,Zapłocie,wyższe
206638,MALINA,KAŁUSEK,K,gnom,TUMMEL,ELENA,JONASZ,3521.4.28,Szczodrzejewo,Kłyżów,Kłyżów,wyższe
721121,ZUZANNA,LANICA,K,ogr,BACHKOVSKA,FELICJA,WILLIAM,3541.3.8,Lucynowo,Lucynowo,Lucynowo,nadludzkie
603541,JĘDRZEJ,KIELNER,M,elf,MITZEL,NADIA,JANUSZ,3546.2.2,Sędrowskie,Sędrowskie,Sędrowskie,średnie
436691,DOBROCHNA,MAJERNOWSKA,K,ogr,BLUEMEL,INKA,JAN,3544.8.6,Marywil,Marywil,Marywil,wyższe
331196,MARTYNA,VAN IERSEL,K,ogr,SHKATULA,TATIANA,EMILIAN,3513.3.25,Krzeszówka,Stecki,Krzywaniec,średnie
417288,LEOPOLD,NOECEL,M,krasnal,MALESZKO,RITA,ERYK,3511.6.23,Roczniaki,Roczniaki,Roczniaki,wyższe
197274,DANUTA,ROGACHOVA,K,ogr,HUMIENNIK,LILIANA,ZBIGNIEW,3528.4.26,Wołczaste,Wołczaste,Wołczaste,brak
200170,MARTA,HYTROSZEK,K,chochlik,KENCZYŃSKA,JUDYTA,SEBASTIAN,3519.12.15,Miejsce Kłodnickie,Miejsce Kłodnickie,Miejsce Kłodnickie,średnie
630171,KASPIAN,SZTAJGERT,M,gnom,SZYNDOWSKA,DANIELA,GNIEWKO,3521.12.7,Bałtówka,Bałtówka,Bałtówka,nadludzkie
661252,ADAM,DALECZKO,M,ogr,CZERTEŻYŃSKA,EWA,KEVIN,3537.1.26,Waleńczów,Habernówka,Habernówka,wyższe
586842,NATHAN,HANCZ,M,ogr,MATYASEK,NATALIA,ADAM,3549.11.13,Węgry,Sosnowa Wola,Huta,wyższe
526163,JAKUB,HRYTSEVYCH,M,ogr,KARCZEWSKA-GARNCAREK,KARINA,ANTONI,3522.3.23,Stara Wieś,Stara Wieś,Stara Wieś,wyższe
878858,JÓZEF,ROSINSKYI,M,elf,WAROT-ŁAWNICZAK,ANITA,LEO,3511.12.11,Nowiny Sobolewskie,Kądzielno,Przerycie,wyższe
692704,NATHAN,SKARPAŃSKI,M,ogr,KOCKNECHT,SANDRA,JULIAN,3520.3.24,Wierzchowie,Przysłopek,Przysłopek,średnie
328268,SEBASTIAN,LEVY,M,wiedźma,BEREZIN,ELŻBIETA,PAWEŁ,3542.11.3,Szprudowo,Szprudowo,Szprudowo,brak
262485,MARIUSZ,BETLEJ,M,elf,KOZIERACKA,JOANNA,BORYS,3515.8.24,Zadworze,Godzimierz,Kosuty,podstawowe
947480,NATANIEL,SYMEŁON,M,ogr,KULĄG,EMILIA,IGNACY,3520.4.21,Pliszka,Gaje,Godzimierz,nadludzkie
875894,STEFANIA,OLARI,K,ogr,SZNAJDROWSKA,EWA,MICHAEL,3512.2.25,Podsusze Włościańskie,Rembów,Rembów,podstawowe
449886,IDALIA,KURTYCZ,K,ogr,PARNACKA,BEATA,STEFAN,3501.2.16,Brzeziny,Grochowy Pierwsze,Wierciejki,brak
951076,DOMINIKA,MUGDA,K,ogr,SZUMLAS,WANESSA,MAKSYM,3535.10.1,Okoły,Okoły,Okoły,brak
689800,ALEXANDRA,CYGENHAGEN,K,wiedźma,SECRET,BRYGIDA,GRACJAN,3527.6.20,Grapa,Grapa,Grapa,podstawowe
824955,RITA,SZUTOCZKIN,K,ogr,KSIĄŹKIEWICZ,CARMEN,MAXYMILIAN,3526.4.25,Ełk,Ełk,Ełk,brak
680103,EMILIAN,LUCYK,M,goblin,LISZOWSKI,ALEKSANDRA,TEODOR,3522.3.11,Lisiewice Duże,Lisiewice Duże,Lisiewice Duże,średnie
486432,BERNARD,CZYGIER,M,ogr,ZACHOREK,LARYSA,JACEK,3526.2.24,Turza,Turza,Turza,wyższe
835950,SEBASTIAN,RYCAJ,M,ogr,GROMNICKA,JAGNA,FLORIAN,3515.10.20,Lipki,Lipki,Lipki,wyższe
316371,MARTYNA,VALL,K,ogr,GOLIJAN,IDA,LEON,3523.6.3,Kijowiec,Ulatowo-Gać,Jasiona,nadludzkie
235427,SANDRA,LKHAGVA,K,wiedźma,KANSCHIK,OTYLIA,DORIAN,3531.12.6,Morysina,Stefanów,Stefanów,nadludzkie
130620,MAGDALENA,JUŹKIEWICZ,K,ogr,ZIÓŁKOWSKA VEL ŻUKOWSKA,NICOL,BRAYAN,3537.11.8,Rolówka,Rolówka,Rolówka,średnie
440330,PATRYK,PUDŹWA,M,ogr,HERBREDER,IRENA,KAJETAN,3547.3.25,Harmatowie,Harmatowie,Harmatowie,brak
793205,KRYSPIN,KURZYN,M,ogr,DOLDER,GRETA,JANUSZ,3542.5.27,Trzebieszowice,Trzebieszowice,Trzebieszowice,brak
727797,BENIAMIN,MISINKIEWICZ,M,ogr,SABOROWSKI,ROKSANA,KASPIAN,3538.1.25,Czaple Górne,Czaple Górne,Czaple Górne,nadludzkie
155278,MARTA,WRZAWA,K,chochlik,MARCISZONOK,MELISA,CYRYL,3545.5.1,Głogówiec,Płonkówka,Płonkówka,nadludzkie
914179,BRONISŁAW,KASPRUK,M,ogr,GŁASZCZAK,KLAUDIA,DENIS,3543.7.3,Księża Zagroda,Księża Zagroda,Księża Zagroda,średnie
448007,KASPIAN,MROCHKA,M,ogr,GUMIENIAK,ŁUCJA,SEBASTIAN,3519.10.20,Dziadowice,Żabin Łukowski,Adamówka,brak
264965,ALBERT,KITZNER,M,ogr,GERNGROẞ,LILIANA,BOGDAN,3544.12.15,Cierniówka,Cierniówka,Cierniówka,brak
612478,IGNACY,KISZCZYC,M,ogr,ZERSOŃ,VICTORIA,BENJAMIN,3517.7.21,Grojec,Plutowa Polana,Plutowa Polana,wyższe
434738,JAGODA,GRONDZIEWSKA,K,ogr,TSANOS,BIANKA,KEVIN,3504.2.2,Górna Wieś,Górna Wieś,Górna Wieś,średnie
511830,NADIA,OFAT,K,ogr,SZEWCZYK-ZAWADZKA,KALINA,SERGIUSZ,3506.7.6,Antoniewo,Papierzówka,Zagóra,wyższe
379798,HUGO,BZDULSKI,M,ogr,DOBROWKIN,JESSICA,SERGIUSZ,3549.4.30,Podedwór,Płonna Szlachecka,Płonna Szlachecka,średnie
942789,OLIVER,WITOSIŃSKI,M,ogr,POSIADŁA,INES,JONATAN,3506.7.9,Rosocha,Rosocha,Rosocha,wyższe
356092,ELŻBIETA,MARDZIŃSKA,K,ogr,WAWRZYCZNA,HANA,BŁAŻEJ,3516.4.28,Szewcowa Polana,Szadówko,Kąty,średnie
642351,LILIA,SCHILDT,K,ogr,NOWICKA-SZYMAŃSKA,ŁUCJA,JAROSŁAW,3538.9.9,Gnojno,Gnojno,Gnojno,wyższe
740413,FLORIAN,MORYLEWSKI,M,ogr,MOCHKODAN,JULIANNA,DAMIAN,3510.2.1,Zającówka,Zarzecze,Zarzecze,podstawowe
281681,EMILIAN,FISAHN,M,ogr,SZOT,ANIKA,KORNELIUSZ,3532.7.13,Kamionki,Lipinki,Lipinki,średnie
773995,LEO,OSÓBKA-ZIELIŃSKI,M,ogr,SOCHANIEWICZ,MARCELA,XAVIER,3514.1.27,Podedwór,Podedwór,Podedwór,średnie
655217,JACEK,GRZEZIERSKI,M,ogr,IWASIEWICZ,KONSTANCJA,NATHANIEL,3510.3.14,Gadówek,Gadówek,Gadówek,brak
667604,TERESA,SIERANTOWICZ,K,ogr,DZISZYŃSKA,WANESSA,WITOLD,3536.10.26,Kwiejce,Wola,Turza-Zalas,brak
699789,INES,KOSTKA-BOSAKOWSKA,K,ogr,POLUHA,KINGA,HENRYK,3541.5.12,Ostrówiec,Ostrówiec,Ostrówiec,średnie
176370,JOWITA,OROBEĆ,K,ogr,ERMLICH,MELISA,ZACHARY,3545.3.30,Robotno-Fitowo,Robotno-Fitowo,Robotno-Fitowo,nadludzkie
628424,REMIGIUSZ,MARKHAM,M,hobbit,CZERWIŃSKA-KOŻUCH,IRENA,DONATAN,3505.3.7,Marcelin,Marcelin,Marcelin,średnie
109623,RAFAŁ,STOCZEWSKI,M,ogr,KRONENBERGER,KAROLINA,FRYDERYK,3516.6.6,Daniele,Dębina,Dębina,nadludzkie
556519,TOMASZ,PODSIADLIK,M,ogr,MASTRONZA,ANTONINA,SAMUEL,3532.7.9,Samoklęski-Kolonia Pierwsza,Nowa Sarzyna,Czerwieniec,brak
698577,NOEMI,FIJAŁKOSKA,K,ogr,NELZY,CARMEN,ALEX,3516.8.28,Ługowa Wola,Ługowa Wola,Ługowa Wola,nadludzkie
720573,MAYA,RĘKAWKA,K,ogr,HARNATKIEWICZ,INEZ,TEOFIL,3536.7.15,Janowo,Pogoń-Leśniczówka,Pogoń-Leśniczówka,nadludzkie
336447,RADOSŁAW,ŻYCHLA,M,ogr,NEPEL,AURELIA,REMIGIUSZ,3509.9.12,Podjamie,Dół Północny,Dół Północny,wyższe
904574,JUDYTA,POMMERANKE,K,wiedźma,MARCHWANT,JULITA,MICHAŁ,3533.10.7,Wieś,Poręby,Markowizna,średnie
441615,NIKODEM,SZYMILEWICZ,M,człowiek,BRUMMA,SONIA,RYSZARD,3528.6.10,Żbin,Żbin,Żbin,średnie
612502,LUDWIKA,KAWKO,K,ogr,NIKRANT,BOGNA,IVO,3516.2.13,Skrobarczowizna,Skrobarczowizna,Skrobarczowizna,podstawowe
469209,GRETA,BRZEŚKIEWICZ,K,hobbit,BÖLKE,URSZULA,FLORIAN,3527.1.25,Żywki,Dziuków,Bychanie,wyższe
171385,NATANIEL,MOLENDYS,M,ogr,WĘGLEWSKA-ZBLEWSKA,FELICJA,DENIS,3514.2.26,Sierakówka,Ruda Tarnowska,Glapki,brak
669969,ALINA,CHOWANEK,K,ogr,KUSIAK-WOŁOSEWICZ,STEFANIA,MATEUSZ,3537.5.13,Pawłowice,Pawłowice,Pawłowice,brak
467223,STEFAN,GAJDECZKA,M,krasnal,MILIOS,SYLWIA,ZBIGNIEW,3526.11.19,Janików,Janików,Janików,brak
176377,OKTAWIA,NAPIORKOWSKA,K,ogr,ZAGÓRNY,ESTERA,LEON,3542.12.13,Ełganowo,Ełganowo,Ełganowo,podstawowe
407422,ANTONINA,KORŻENKO,K,ogr,WIETHAN,EMILY,MICHAEL,3547.2.14,Góry-Kolonia,Góry-Kolonia,Góry-Kolonia,wyższe
674013,SŁAWOMIR,BONTOR,M,ogr,WYWIOŁEK,VIVIANA,ROMAN,3505.7.23,Grąbczewo,Grąbczewo,Grąbczewo,nadludzkie
427609,CYPRIAN,DARMONOS,M,ogr,BAKIERA,RÓŻA,WOJCIECH,3544.2.17,Tworki,Tworki,Tworki,podstawowe
868152,INGA,DZIASHKO,K,ogr,PIECZENIEWSKA,ANETA,JAREMA,3535.3.3,Zwiernik,Zwiernik,Zwiernik,nadludzkie
191469,MARIUSZ,JAKUSZ,M,ogr,NOWOŁOWSKA,OKSANA,ARTUR,3545.9.3,Szubina,Szubina,Szubina,wyższe
511791,KRYSTIAN,FEDYCZAK,M,ogr,RADULI,POLA,ALAN,3519.7.30,Zwola,Paremka,Bukowska Wola,podstawowe
552524,ADAM,MICHALICHA,M,ogr,FLEISCHMAN,LILLA,JAKUB,3515.7.13,Wielgie Sycowskie,Wielgie Sycowskie,Wielgie Sycowskie,nadludzkie
572293,BERNARD,POSTEMSKYI,M,ogr,SELIŃSKA,SYLWIA,KONSTANTY,3511.3.20,Sielice,Michałowo,Polana,średnie
982333,NATANIEL,AKRICHE,M,ogr,FOLTA,RITA,ROCH,3511.9.14,Janówek,Za Ogrodem,Sułowo,średnie
339240,JULIAN,ĆWIDAK,M,elf,CZEŻYK-ZIELIŃSKA,ANGELIKA,LEONARD,3533.2.13,Łąki,Klepak,Klepak,wyższe
142206,MAJKA,BOZETICKÁ,K,wiedźma,MAZZOCCHI,URSZULA,SZCZEPAN,3550.11.5,Wierzawice,Mechowo,Mechowo,nadludzkie
760274,ADRIANNA,WÖGERER,K,chochlik,BRUDZIEWSKA,MELANIA,MAURYCY,3500.9.21,Brzeziniec,Szyszkowiec,Szyszkowiec,podstawowe
263832,LILIANA,ŁABONARSKA,K,ogr,PLECZKE,WERONIKA,ERYK,3545.7.2,Martyniakowie,Podchoinki,Klęczany,wyższe
431625,MICHAEL,KINIEC,M,ogr,NOWAK-SPYRKA,DOBROCHNA,OKTAWIAN,3527.1.9,Przechlewko,Przechlewko,Przechlewko,nadludzkie
374353,BŁAŻEJ,SŁOJKOWSKI,M,ogr,VASILYEVA,DANIELA,WITOLD,3537.5.18,Górkówka,Górkówka,Górkówka,średnie
379258,ANIELA,SMOLANO,K,ogr,PURWIK,MARTA,JĘDRZEJ,3506.11.20,Pod Będziemyślem,Pod Będziemyślem,Pod Będziemyślem,wyższe
701932,GUSTAW,DINKOW-GEORGIJEW,M,ogr,SUPOROWSKA,OLIVIA,LEON,3524.2.7,Piaski,Piaski,Piaski,wyższe
884118,SABINA,TYMICKA,K,ogr,HURTOVA,AURELIA,STANISŁAW,3511.7.2,Ogrody,Ogrody,Ogrody,brak
609786,ARKADIUSZ,CUPRIAN,M,gnom,DASZKE,GABRIELA,OSCAR,3537.4.27,Zagórze,Myślibórz,Myślibórz,wyższe
281683,ARIANNA,SIWERD,K,ogr,VAN DER VALK,JUDYTA,KAJETAN,3547.3.20,Załęże Wielkie,Załęże Wielkie,Załęże Wielkie,nadludzkie
959845,DANIELA,RODRIGUES FERNANDES,K,ogr,GERIKE,URSZULA,WILLIAM,3536.7.21,Miodusy-Pokrzywne,Miodusy-Pokrzywne,Miodusy-Pokrzywne,średnie
881427,ANTONI,HOŁYSIAK,M,ogr,MCCLOSKEY,ZUZANNA,MIECZYSŁAW,3500.6.9,Smolary,Smolary,Smolary,podstawowe
588458,LILA,GARBOL,K,wiedźma,ILGEN,NELA,MIROSŁAW,3547.9.3,Stefanów,Stefanów,Stefanów,nadludzkie
825758,NATHAN,EMIROW,M,ogr,STELLAK,JANINA,EMANUEL,3504.12.21,Maśnik,Maśnik,Maśnik,wyższe
169517,IVO,CIEMNIAK,M,ogr,KOWALCZYK-ŻURAWSKA,MIRA,RADOSŁAW,3546.9.24,Przemyśl,Poręby,Dworzakowo,wyższe
407121,LARYSA,KLANKIEWICZ,K,ogr,SPEER,OLGA,NORBERT,3529.10.25,Lipniki,Młynary,Marcówka-Dwór,brak
123751,KATARZYNA,STRACZYŃSKA,K,ogr,MEZER-ŻUBKOWSKA,INGA,RAFAŁ,3550.12.3,Potasznia pod Gądkowicami,Niesłabin,Wola Pobiedzińska,nadludzkie
975921,ZUZANNA,PIELOT,K,ogr,SALDZIUN,WANESSA,ROMAN,3527.11.26,Parcelacja,Parcelacja,Parcelacja,średnie
974469,GNIEWOMIR,GRÜTZNER,M,ogr,WLAZIŃSKA,NEL,NATHAN,3531.9.11,Klonowice,Gąski,Popowo-Kolonia,nadludzkie
567793,PASCAL,SEREMET,M,ogr,BOHRYCEWICZ,WIKTORIA,KONRAD,3509.4.24,Turów Górny,Turów Górny,Turów Górny,średnie
807127,TEODOR,TSOLKO,M,hobbit,GRYKSZAK,LILIANA,GABRIEL,3515.5.2,Miejska Górka,Miejska Górka,Miejska Górka,wyższe
428541,DIEGO,BENEDYCZUK,M,ogr,EISNER,EDYTA,PAWEŁ,3543.7.29,Szczypiornia,Wierzbowa,Wierzbowa,brak
466633,NICOLAS,GREGEL,M,wiedźma,SACZYK,WERONIKA,MIRON,3535.11.14,Wiśniówka,Wiśniówka,Wiśniówka,podstawowe
195811,CECYLIA,JÓZWICKA,K,ogr,PIERCZAK,MIRIAM,TYMON,3540.3.25,Gęsia Niwa,Lędowo-Osiedle,Lędowo-Osiedle,podstawowe
556408,MAJKA,OLECKA,K,ogr,HODALSKA,KAMILA,SEWERYN,3520.10.29,Świercze,Świercze,Świercze,podstawowe
310380,ADELAJDA,POROMBKA,K,ogr,NOBILE,GLORIA,BRYAN,3515.10.5,Pod Królewską Górą,Pod Królewską Górą,Pod Królewską Górą,nadludzkie
